Tabela
"🎯 Warstwa (Layer)","🤖 Moduł AI","📋 Funkcjonalność","🔧 Agent/Narzędzie","🔌 Integracje","⚡ Typ działania","🎚️ Poziom autonomii","💰 Business Impact","🚦 Status wdrożenia","📊 ROI Score","⚠️ Guardrails","🎯 Decyzje autonomiczne"
"📥 WARSTWA A: INPUT & RECEPTION","Input Control Center","Email Intake","Email Intake Agent","Gmail/Outlook/SMTP","Reactive","3","Krytyczny","🟢 Live","9/10","Nie","Klasyfikacja i routing automatyczny"
"📥 WARSTWA A: INPUT & RECEPTION","Input Control Center","Form Intake","Form Intake Agent","Formularze WWW/Landing pages","Reactive","4","Krytyczny","🟢 Live","10/10","Nie","Lead capture i wzbogacanie"
"📥 WARSTWA A: INPUT & RECEPTION","Input Control Center","Call Transcription","Call Transcription Agent","VoIP/Call center","Reactive","3","Wysoki","🟡 Pilot","8/10","Nie","Transkrypcja i analiza rozmów"
"📥 WARSTWA A: INPUT & RECEPTION","Input Control Center","Message Intake","Message Intake Agent","WhatsApp/Messenger/Telegram","Reactive","4","Wysoki","🟢 Live","9/10","Nie","Obsługa komunikatorów"
"📥 WARSTWA A: INPUT & RECEPTION","Input Control Center","Classification","Classification Engine","NLP/ML models","Proactive","4","Krytyczny","🟢 Live","10/10","Nie","Auto-kategoryzacja zgłoszeń"
"📥 WARSTWA A: INPUT & RECEPTION","Input Control Center","Deduplication","Deduplication Agent","CRM/Database","Autonomous","4","Wysoki","🟢 Live","9/10","Nie","Usuwanie duplikatów"
"📥 WARSTWA A: INPUT & RECEPTION","Input Control Center","Routing","Routing Agent","Event Bus/Orchestrator","Autonomous","5","Krytyczny","🟢 Live","10/10","Nie","Inteligentny routing spraw"
"🔍 WARSTWA B: LEAD INTELLIGENCE","Lead Intelligence","Lead Research","Lead Research Agent","LinkedIn/CEIDG/KRS/Web scraping","Proactive","4","Wysoki","🟢 Live","9/10","Nie","Enrichment leadów"
"🔍 WARSTWA B: LEAD INTELLIGENCE","Lead Intelligence","Scoring","Scoring Agent","ML models/CRM history","Predictive","5","Krytyczny","🟢 Live","10/10","Nie","Lead scoring 0-100"
"🔍 WARSTWA B: LEAD INTELLIGENCE","Lead Intelligence","ICP Match","ICP Match Agent","Customer profiling/Segmentation","Predictive","4","Wysoki","🟢 Live","9/10","Nie","Dopasowanie do ideal customer profile"
"🔍 WARSTWA B: LEAD INTELLIGENCE","Lead Intelligence","Risk Assessment","Risk Assessment Agent","Credit check/Payment history","Predictive","4","Wysoki","🟡 Pilot","8/10","Tak","Ocena ryzyka kredytowego >50k PLN"
"🔍 WARSTWA B: LEAD INTELLIGENCE","Lead Intelligence","Assignment","Assignment Agent","CRM/Calendar/Workload analysis","Autonomous","5","Wysoki","🟢 Live","9/10","Nie","Auto-przypisanie do opiekuna"
"🔍 WARSTWA B: LEAD INTELLIGENCE","Lead Intelligence","Intent Detection","Intent Detection Agent","NLP/Behavioral analysis","Predictive","4","Wysoki","🟡 Pilot","9/10","Nie","Wykrywanie intencji zakupowej"
"🔍 WARSTWA B: LEAD INTELLIGENCE","Lead Intelligence","LTV Prediction","LTV Prediction Agent","ML models/Historical data","Predictive","4","Średni","🔵 Planned","8/10","Nie","Prognoza wartości życiowej klienta"
"💼 WARSTWA C: SALES COMMAND CENTER","Sales Command","Offer Builder","Offer Builder Agent","CPQ/Product catalog/Pricing engine","Autonomous","4","Krytyczny","🟢 Live","10/10","Tak","Oferty do 50k PLN bez akceptacji"
"💼 WARSTWA C: SALES COMMAND CENTER","Sales Command","Follow-Up","Follow-Up Agent","Email/CRM/Calendar","Autonomous","5","Krytyczny","🟢 Live","10/10","Nie","Automatyczne follow-upy (3 próby)"
"💼 WARSTWA C: SALES COMMAND CENTER","Sales Command","Negotiation Support","Negotiation Support Agent","Historical deals/Pricing strategy","Proactive","3","Wysoki","🟡 Pilot","8/10","Tak","Sugestie w negocjacjach"
"💼 WARSTWA C: SALES COMMAND CENTER","Sales Command","Deal Health","Deal Health Agent","Pipeline analysis/ML models","Predictive","4","Wysoki","🟢 Live","9/10","Nie","Wykrywanie zagrożonych dealów"
"💼 WARSTWA C: SALES COMMAND CENTER","Sales Command","Pricing","Pricing Agent","Competitor data/Margin rules","Autonomous","4","Krytyczny","🟢 Live","10/10","Tak","Rabaty do 7% autonomicznie"
"💼 WARSTWA C: SALES COMMAND CENTER","Sales Command","Upsell/Cross-Sell","Upsell/Cross-Sell Agent","Purchase patterns/Product affinity","Proactive","4","Wysoki","🟡 Pilot","9/10","Nie","Rekomendacje produktów"
"💼 WARSTWA C: SALES COMMAND CENTER","Sales Command","Contract Generation","Contract Generation Agent","Templates/Legal rules/DocuSign","Autonomous","4","Wysoki","🟡 Pilot","8/10","Tak","Umowy standardowe bez prawnika"
"📦 WARSTWA D: PRODUCT & CATALOG","Product Brain","Product Normalization","Product Normalization Agent","PIM/ERP/Marketplace feeds","Autonomous","4","Krytyczny","🟢 Live","9/10","Nie","Ujednolicanie katalogów"
"📦 WARSTWA D: PRODUCT & CATALOG","Product Brain","Content Generation","Content Generation Agent","GPT-4/Product data/SEO rules","Autonomous","4","Wysoki","🟢 Live","9/10","Nie","Opisy produktów"
"📦 WARSTWA D: PRODUCT & CATALOG","Product Brain","Attribute Mapping","Attribute Mapping Agent","ML/Product taxonomy","Autonomous","4","Wysoki","🟢 Live","8/10","Nie","Mapowanie cech produktów"
"📦 WARSTWA D: PRODUCT & CATALOG","Product Brain","Category","Category Agent","Classification models","Autonomous","4","Średni","🟢 Live","8/10","Nie","Auto-kategoryzacja"
"📦 WARSTWA D: PRODUCT & CATALOG","Product Brain","Translation","Translation Agent","DeepL/GPT-4","Autonomous","5","Średni","🟡 Pilot","7/10","Nie","Tłumaczenia katalogów"
